,index,LoadHourlyAvg,ZoneName,SignalMonth,ZoneAreaSqFt
20671,20671,1656.09,CAV-01-3A-16,2,255.0
20672,20672,1656.0000000000002,CAV-02-5A-04,10,268.0
20673,20673,1656.0,CAV-01-3A-24,2,268.0
20674,20674,1656.0,CAV-02-3A-31,7,92.0
20675,20675,1656.0,CAV-02-3A-01,3,268.0
20676,20676,1655.9640000000004,CAV-01-3A-15,6,255.0
20677,20677,1655.964,CAV-01-3A-17,9,264.0
20678,20678,1655.91,CAV-02-5A-03,7,268.0
20679,20679,1655.6400000000003,CAV-02-3A-04,2,268.0
20680,20680,1655.64,CAV-01-3A-12,7,252.0
20681,20681,1655.5418181818184,CAV-01-3A-18,9,250.0
20682,20682,1655.37,CAV-02-5A-02,1,268.0
20683,20683,1655.1899999999998,CAV-01-3A-16,2,255.0
20684,20684,1655.1,CAV-02-3A-25,2,334.0
20685,20685,1655.0100000000002,CAV-01-3A-24,4,268.0
20686,20686,1654.9527272727275,CAV-01-3A-23,10,334.0
20687,20687,1654.92,CAV-01-3A-11,5,269.0
20688,20688,1654.92,CAV-01-3A-20,2,250.0
20689,20689,1654.8545454545456,CAV-02-3A-04,3,268.0
20690,20690,1654.8300000000002,CAV-01-3A-17,9,264.0
20691,20691,1654.8300000000002,CAV-01-3A-07,10,269.0
20692,20692,1654.74,CAV-01-3A-15,8,255.0
20693,20693,1654.74,CAV-01-3A-15,5,255.0
20694,20694,1654.6500000000003,CAV-01-3A-15,8,255.0
20695,20695,1654.6500000000003,CAV-01-3A-16,12,255.0
20696,20696,1654.65,CAV-01-3A-11,8,269.0
20697,20697,1654.5600000000002,CAV-01-3A-07,3,269.0
20698,20698,1654.5600000000002,CAV-01-3A-17,1,264.0
20699,20699,1654.56,CAV-01-3A-16,2,255.0
20700,20700,1654.56,CAV-01-3A-24,5,268.0
20701,20701,1654.5599999999995,CAV-01-3A-17,7,264.0
